id  , nama_sekolah
1   , MTs AL ASMAAUL HUSNA
2   , MTs Ar-Rasyidy
3   , MTs AR-ROZZAAQ
4   , MTs Assalaam
5   , MTs Balighul Hikmah
6   , MTs Darul Irsyad
7   , MTs EL ALAMIA
8   , MTs HIBRUL ULAMA
9   , MTs MANBA&#039;UL HUDA
10  , MTs NUR AKMALIYAH
11  , MTs NURANI
12  , MTs NURUL FAJAR
13  , MTs RIBATHUL MUJTABA
14  , MTs RIYADHUL MUSTHOFA
15  , MTs TAHFIDZ SMART MUROTTAL
16  , MTs TANBIHUL GHOFILIN
17  , MTs ULIN NUHA
18  , MTs UTSMANIL HAKIM
19  , MTs Yanfa&#039;&#039;ul Ilmi
20  , MTSN 1 BOGOR
21  , MTSN 1 CIANJUR
22  , MTSN 2 BOGOR
23  , MTSN 2 CIANJUR
24  , MTSN 3 BOGOR
25  , MTSN 3 CIANJUR
26  , MTSN 4 BOGOR
27  , MTSN 4 CIANJUR
28  , MTSN 5 CIANJUR
29  , MTSN 6 CIANJUR
30  , MTSN 7 CIANJUR
31  , MTSN KOTA BOGOR
32  , MTSN KOTA DEPOK
33  , MTSN KOTA SUKABUMI
34  , MTSS 2 KOTA SUKABUMI
35  , MTSS ABDOELLAH BASTARI
36  , MTSS ADAWIYATUL ASLAMIYAH
37  , MTSS AINUR RAHMAH
38  , MTSS AKHLAQIYYAH
39  , MTSS AKMALIYAH
40  , MTSS AL AMANAH
41  , MTSS AL AMANAH
42  , MTSS AL AMIN
43  , MTSS AL ANHAR
44  , MTSS AL ARAFAH
45  , MTSS AL ARQOM
46  , MTSS AL ASIYAH
47  , MTSS AL ATIQIYAH
48  , MTSS AL AWWABIN
49  , MTSS AL AZIZIYYAH
50  , MTSS AL BAKRIYAH
51  , MTSS AL BAQIYATUSSHOLIHAT
52  , MTSS AL BASHRIYYAH
53  , MTSS AL FALAH
54  , MTSS AL FALAH
55  , MTSS AL FALAH
56  , MTSS AL FALAH
57  , MTSS AL FALAHIYAH
58  , MTSS AL FARABI
59  , MTSS AL FATA
60  , MTSS AL FATAH
61  , MTSS AL FATHONIYAH
62  , MTSS AL FATMAHIYAH
63  , MTSS AL FIKRI
64  , MTSS AL FITRIYAH
65  , MTSS AL FURQON
66  , MTSS AL FURQON
67  , MTSS AL FURQONIYAH
68  , MTSS AL FURQONIYAH
69  , MTSS AL GHIFFARI
70  , MTSS AL GHIFFARI
71  , MTSS AL HAMDANIYAH
72  , MTSS AL HAMIDIYAH
73  , MTSS AL HASANAH
74  , MTSS AL HASANI
75  , MTSS AL HIDAYAH
76  , MTSS AL HIDAYAH
77  , MTSS AL HIDAYAH
78  , MTSS AL HIDAYAH
79  , MTSS AL HIDAYAH
80  , MTSS AL HIDAYAH
81  , MTSS AL HIDAYAH
82  , MTSS AL HIDAYAH
83  , MTSS AL HIDAYAH 2
84  , MTSS AL HIDAYAH CA
85  , MTSS AL HIDAYAH CINANGKA
86  , MTSS AL HIDAYAH RAWA DENOK
87  , MTSS AL HIDAYAH SUKATANI
88  , MTSS AL HIKMAH
89  , MTSS AL HUDA
90  , MTSS AL HUSAINIYAH
91  , MTSS AL HUSNA
92  , MTSS AL HUSNA
93  , MTSS AL IDRUS
94  , MTSS AL IHSAN
95  , MTSS AL IHSANUL HUSNA
96  , MTSS AL IHYA
97  , MTSS AL IKHLAS
98  , MTSS AL IKHLAS
99  , MTSS AL IKHWAN
100 , MTSS AL IKHWAN CIHEA
101 , MTSS AL ILTIZAM
102 , MTSS AL INAAYAH
103 , MTSS AL INAYAH
104 , MTSS AL IRSYADIYAH
105 , MTSS AL ISLAMIYAH
106 , MTSS AL ISLAMIYAH AMZ
107 , MTSS AL ISTIQOMAH
108 , MTSS AL ITQON
109 , MTSS AL ITTIHAD
110 , MTSS AL ITTIHAD
111 , MTSS AL ITTIHAD MATHLAUL ANWAR
112 , MTSS AL ITTIHADIYAH
113 , MTSS AL JAMHURIYAH
114 , MTSS AL JAYANI
115 , MTSS AL JIHAD
116 , MTSS AL KARIMIYAH
